NAmostra,Hidrogênio,Oxigênio,Nitrogênio,MonóxidoDeCarbono,DióxidoDeCarbono,Metano,Etileno,Etano,Acetileno,NBR7274,IEC60599,Laborelec,Rogers,Duval,Dornenburg,DiagReal
163,"3,59E+020","1,2E+019","1,6E+020","9,7E+017","1,29E+019","8,47E+019",7E+016,"2,14E+019",2E+016,NFD,NFD,FTBMA,SF,DPPA,NFD,DPP
164,0,"5,16E+019","2,23E+020",1E+016,"3,5E+017",1E+016,0,0,0,DPP,DPPA,NFD,DPPA,DPPA,NFD,SF
165,0,"1,21E+020","6,81E+020",4E+016,"1,86E+018",2E+016,8E+016,2E+016,0,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
166,"3,5E+017","9,25E+019","8,12E+020","7,1E+017","1,7E+018","2,5E+017","2,3E+017",0,"2,2E+017",NFD,NFD,NFD,DER,DAE,DERA,DAE
167,0,"5,16E+019","2,23E+020",1E+016,"3,5E+017",1E+016,0,0,0,DPP,DPPA,NFD,DPPA,DPPA,NFD,SF
168,0,"1,21E+020","6,81E+020",4E+016,"1,86E+018",2E+016,8E+016,2E+016,0,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
169,"1,68E+018","7,22E+019","5,59E+020","6,7E+017","1,39E+019","1,35E+019","3,28E+019","5,81E+018","6,3E+017",FTA,FTA,FTBMA,NFD,FTBMA,FTBMA,FTA
170,"9,82E+019","2,49E+019","7,68E+020","8,37E+018","6,65E+019","3,7E+020","6,28E+020","1,16E+020","2,62E+019",FTA,FTA,DERA,NFD,FTBMA,FTBMA,FTA
171,"2,3E+017","2,84E+020","9,04E+020",0,"2,97E+019","5,06E+018","7,84E+019","2,23E+019","2,13E+018",FTA,FTM,FTBMA,NFD,FTBMA,NFD,SF
172,8E+017,"1,69E+020","6,6E+020","2,88E+018","2,93E+019","2,01E+018","6,38E+018","7,7E+017",1E+017,FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
173,"1,06E+018","1,82E+020","6,92E+020","2,62E+018","2,67E+019","2,22E+018","7,03E+018","9,5E+017","1,4E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
174,"6,16E+018","3,81E+019","5,21E+020","9,49E+018","3,22E+019","3,57E+018","3,89E+018","4,3E+017","4,02E+018",DAE,DAE,DERA,DAE,DAE,DERA,DAE
175,8E+016,"7,54E+019","2,46E+020","1,5E+017","9,7E+017",1E+016,0,0,0,SF,NFD,NFD,SF,DPPA,NFD,SF
176,"1,7E+017","1,78E+019","1,34E+020","2,7E+017","1,32E+018",2E+016,0,0,0,SF,NFD,NFD,SF,DPPA,NFD,SF
177,"5,32E+019","2,21E+019","1,26E+020","1,43E+018","4,85E+018","1,06E+019","7,27E+018","5,7E+017","1,46E+019",DAE,DERA,DERA,DAE,DER,DERA,DAE
